Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1646348749,20,,Aggregated,55.400000,1.100000,31,32,33,34,39,46,65,75,400,490,760,11537,281,31,33.65793254987998,0.7127760000003036,761.7747220001547,817.0542602062928
1646348750,20,,Aggregated,55.200000,1.100000,31,32,33,34,39,46,65,75,400,490,760,11592,284,31,33.648560797357206,0.7127760000003036,761.7747220001547,816.9337474120083
1646348751,20,,Aggregated,54.300000,1.300000,31,32,33,34,39,46,65,75,400,490,760,11647,285,31,33.640783765001025,0.7127760000003036,761.7747220001547,816.9591311067228
1646348752,20,,Aggregated,53.200000,1.300000,31,32,33,34,39,46,65,75,400,490,760,11697,289,31,33.63606687227208,0.7127760000003036,761.7747220001547,816.7599384457553
1646348753,20,,Aggregated,53.300000,1.500000,31,32,33,34,39,46,65,75,400,490,760,11755,296,31,33.63094242560333,0.7127760000003036,761.7747220001547,816.3633347511698
1646348754,20,,Aggregated,52.800000,1.200000,31,32,33,34,39,46,65,75,400,490,760,11807,296,31,33.630531174215825,0.7127760000003036,761.7747220001547,816.4564241551622
1646348755,20,,Aggregated,54.600000,2.100000,31,32,33,34,39,46,65,75,400,490,760,11862,297,31,33.62422519979465,0.7127760000003036,761.7747220001547,816.4839824650144
1646348756,20,,Aggregated,55.300000,2.100000,31,32,33,34,39,46,65,75,400,490,760,11912,298,31,33.618753908073046,0.7127760000003036,761.7747220001547,816.5014271323035
1646348757,20,,Aggregated,55.200000,2.100000,31,32,33,34,39,46,65,75,400,490,760,11962,301,31,33.61914632536085,0.7127760000003036,761.7747220001547,816.3785320180572
1646348758,20,,Aggregated,54.600000,2.300000,31,32,33,34,39,46,65,75,400,490,760,12014,302,31,33.61773233518942,0.7127760000003036,761.7747220001547,816.3997835858165
1646348759,20,,Aggregated,52.600000,2.100000,31,32,33,34,39,46,65,75,400,490,760,12072,302,31,33.61056457471546,0.7127760000003036,761.7747220001547,816.5005798542081
1646348760,20,,Aggregated,53.100000,2.300000,31,32,33,34,39,46,65,75,400,490,760,12134,304,31,33.59539925341726,0.7127760000003036,761.7747220001547,816.4693423438273
1646348761,20,,Aggregated,53.300000,2.100000,31,32,33,34,39,46,65,75,400,490,760,12189,304,31,33.586510389692734,0.7127760000003036,761.7747220001547,816.564443350562
1646348762,20,,Aggregated,53.300000,2.100000,31,32,33,34,39,46,65,75,400,490,760,12240,304,31,33.58485570996445,0.7127760000003036,761.7747220001547,816.6511437908497
1646348763,20,,Aggregated,54.400000,1.900000,31,32,33,34,39,46,65,75,400,490,760,12285,304,31,33.591550112899135,0.7127760000003036,761.7747220001547,816.7271469271469
1646348764,20,,Aggregated,54.400000,1.700000,31,32,33,34,39,46,65,75,400,490,760,12329,305,31,33.59719980314418,0.7127760000003036,761.7747220001547,816.732825046638
1646348765,20,,Aggregated,52.900000,0.800000,31,32,33,34,39,46,65,75,400,490,760,12375,305,31,33.60319594585571,0.7127760000003036,761.7747220001547,816.8091313131313
1646348766,20,,Aggregated,52.800000,0.900000,31,32,33,34,39,47,65,75,400,490,760,12434,308,31,33.59922013671906,0.7127760000003036,761.7747220001547,816.703313495255
1646348767,20,,Aggregated,51.700000,0.900000,31,32,33,34,39,46,65,75,400,490,760,12490,308,31,33.592563065409635,0.7127760000003036,761.7747220001547,816.7959167333867
1646348768,20,,Aggregated,51.700000,0.900000,31,32,33,34,39,46,65,75,400,490,760,12539,308,31,33.593534294279266,0.7127760000003036,761.7747220001547,816.8767844325704
1646348769,20,,Aggregated,53.100000,0.800000,31,32,33,34,39,46,65,75,400,490,760,12586,308,31,33.59115017034557,0.7127760000003036,761.7747220001547,816.9535197838868
1646348770,20,,Aggregated,51.900000,0.600000,31,32,33,34,39,46,65,75,400,490,760,12639,309,31,33.581581341084636,0.7127760000003036,761.7747220001547,816.9732573779571
1646348771,20,,Aggregated,52.000000,0.600000,31,32,33,34,39,46,65,75,400,490,760,12691,309,31,33.58129878315109,0.7127760000003036,761.7747220001547,817.0572846899378
1646348772,20,,Aggregated,51.300000,0.500000,31,32,33,34,39,46,65,75,400,490,760,12745,309,31,33.575230029577675,0.7127760000003036,761.7747220001547,817.1435857198901
1646348773,20,,Aggregated,50.700000,0.500000,31,32,33,34,39,46,65,75,400,490,760,12817,316,31,33.555285719354764,0.7127760000003036,761.7747220001547,816.7990949520168
1646348774,20,,Aggregated,50.300000,0.500000,31,32,33,34,39,46,65,75,400,490,760,12870,316,31,33.551215876066294,0.7127760000003036,761.7747220001547,816.8835275835276
1646348775,20,,Aggregated,51.900000,0.900000,31,32,33,34,39,46,65,75,400,490,760,12937,316,31,33.543777288086346,0.7127760000003036,761.7747220001547,816.9894875164258
1646348776,20,,Aggregated,52.900000,1.100000,31,32,33,34,39,46,65,75,400,490,760,12999,319,31,33.533085080158045,0.7127760000003036,761.7747220001547,816.892914839603
1646348777,20,,Aggregated,55.100000,1.100000,31,32,33,34,39,46,65,75,390,490,760,13046,319,31,33.531633568218446,0.7127760000003036,761.7747220001547,816.9671163575042
